name,viaf,wiki,pages
"Clemens Zebracenus ,Venceslaus",31977095,Q112367396,"228,229,237"
Clenardus Nicolaus,59885698,Q549782,"150,311,313"
Clesius Bernardus,59192040,Q826269,77
"Clonovius (= Acernus), Sebastianus",12338481,Q176756,"242,243"
Clusius Carolus,,,"155,216"
Cnapius Gregorius,,Q5612521,"234,244"
Cobami Josephus,,,95
Coberus Theodorus,,,270
Cobet Carel G.,,Q743457,326
Cochanovius (Kochanowski ) Johannes,7428033,Q59737,"29,242,251"
Cochlaeus Johannes,4969350,Q64344,190
Codrus: see Urceus.,,,
Cohausen Johannes H.,59523179,Q105795,189
Coleiro Edward,113529711,Q109441701,103
Colet Johannes,34454805,Q957527,"164,165,166"
Collenuccius Pandulphus,34673342,Q3893150,135
Collinus Matthias,,,230
Collinus Theodorus,,,206
Colocci Angelo,,,"58,74"
Columbus Christophorus,17231583,Q7322,284-5
Columbus Jonas,,,277
Columella,95243635,Q318317,7
Comenius Janus Amos,,Q12735,"231,232,234,236,277"
Comes (Conti) Natalis,,,21
Commerson Philibert,,,326
Commirius Johannes,41849428,Q3171400,137
"Conceiçáo, Manuel da",,,123
Connybertus Alexander,45339277,,139
Constantinus Emmanuel,,,120
Contarini Francesco.,,,77
Conti: see Comes.,,,
"Conversinus Ravennas, Johannes",71412514,Q328150,215
"Cooke Elisha, Jr.",49656105,Q5361745,290
Copernicus Nicolaus,71389288,Q619,"178,247"
Corbiniana Sophia,163708935,Q99867723,31
Cordara Julius Caesar,,,66
Cordeiro Antonius,,,"122,123"
Cordus Euricius,122063278,Q96643,"48,88,182"
Corippus Cresconius,87951066,Q266239,7
Corneille Pierre,41838293,Q747,"59,217"
Corradus Quintus Marius,,,76
Corrarius Gregorius,18019094,Q3765384,59
Correa Thomas,35243714,Q59529727,121
Cortesius Paulus,,Q1847988,56
Corvinus Laurentius,20110921,Q73576,241
Corvinos Matthias,4938768,Q188634,"214,219,220"
Corycius (Goritz) Johannes,10693398,Q16439039,58
"Costa, Une! da",,,122
Cotta Johannes,71401598,Q3767063,58
Couplet Philippe,,,322
Coxius Leonardus,,,"170,240"
Cramer Gabriel,,Q122331,209
Craneveldius Franciscus,54955515,Q2178714,18
Crashaw Richard,22212841,Q553900,"49,167,175"
"Cremensis, Franciscus",,,"149,158"
Crescentius: see Increase.,,,
Crespo Nicolaus,,,301
"Creux, F. du",,,287
Cribellius Leodrisius,,,13
Cricius (Krzycki) Andreas,3542950,Q515151,242
Crijevié: see Cerva.,,,
Crivelli: see Cribellius.,,,
Cromerus Martinus,44288262,Q66649,245
Cropacius Caspar,18315526,Q12029090,230
"Crosnensis, Paulus",188916297,Q11814534,"239,242"
Crucius (De la Cruz) Ludovicus,,,"122,123"
"Cruz, Martinus de la",,,299
Csezmiczei: see Janus Pannonius.,,,
Cuiacius (Cujas) Jacobus,46894531,Q707285,134
Cunichius (Kunié) Raymundus,,,"94,99"
"Curtius, Quintus",,,"270,276"
Cusack Patrick,,,171
Cuspinianus Johannes,,,190
Czvittinger David,72553214,Q900129,215
Dactius (Dati) Augustinus,,,56
Dalberg Johannes,56762395,Q102253,182
Damalevicius Stephanus,56965758,Q62034606,245
"Damhoudere, Justus de",,,155
Dampetrus (Dampierre) Johannes,175198614,,136
"Dante, Aleghieri",97105654,Q1067,"19,29,33,41,51,52,54,55,78,79,86"
Dantiscus Johannes,5031671,Q1358292,"241,242,245"
Das Chagas Manuel,,,124
Dat(h)us (Dati) Leonardus,54461827,Q3830353,"45,59,79"
Dati: see Dactius and Dathus.,,,
Debes Johannes Jac.,,,270:
Decembrius Petrus Candidus,,,14
Decius Franciscus,,,"109,110"
Decius Jodocus,73844033,Q463808,170
Decius Justus,,,177
Dedekindus Fridericus,33069205,Q94910119,181
Dee John,39386049,Q201484,166
Deidrich Georgius,,,224
Delacroix D.,,,172
Delignières Carolus,,,139
Delille Jacques,,,140
Delrio Martinus A.,122217220,Q1343514,106
Demetrius Phalereus,,Q313286,7
Demosthenes,,Q117253,7
Dempster Thomas,4919523,Q672898,"169,173"
Denis Michael,32028043,Q494586,183
Deodatus (Bogdan) Petrus,47673907,Q7171687,"92,98"
Desbillons F. J.,,,137
Descartes Renè,41838958,Q9191,"14,31,127,134,276"
Desmasures: see Masurius.,,,
Despauterius Johannes,53924,Q598174,"150,268"
Deswert Johannes Chrysost.,,,156
Dethick Henry,,,166
Dhuoda,,,31
Dickens Charles,,Q5686,"151,167"
Didacus Pyrrhus = Flavius J. (Isaia Kohen),,,"93,122"
Diggle James,,,164
Diogenes Laertius,,,7
Dionysius Areopagita,,,7
Diplovatacius Thomas,10225077,Q7819064,85
Djurhuus J.H.O.,,,270
Dlugossius Johannes,56628654,Q326493,"240,244"
Dobrizhofer Martinus,52790306,Q347485,302
Dobsevage Alvin P.,,,293
Dodonaeus Rembertus,,,155
Doissin Ludovicus,37210564,,291
Doletus Stephanus,,Q1248100,"130,131,132,134,135,143"
Dolnicar: see Thalnitscher.,,,
Dominici Johannes,,Q640594,136
Donatus,,,"7,10"
Donatus Alexander,29870868,Q20203291,"186,187"
Donelaitis K.,,,247
Donne John,,Q140412,"166,175"
Dorat: see Auratus.,,,
Dornavius Caspar,140912,Q55124140,181
